det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,18,13,267,298
a,7,1,290,298
an,8,1,290,299
this,7,1,290,298
that,5,3,291,299
no,33,13,253,299
any,14,14,270,298
another,5,3,290,298
each,4,3,291,298
some,35,74,190,299
all,30,145,124,299
every,0,23,276,299
these,0,279,20,299
both,37,87,175,299
which,12,19,268,299
those,0,225,75,300
