det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,19,14,277,310
a,3,0,123,126
an,0,0,23,23
this,0,0,13,13
that,0,0,3,3
no,0,0,2,2
any,0,0,2,2
another,0,0,2,2
each,0,0,2,2
some,0,0,1,1
every,0,0,1,1
these,0,1,0,1
