det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,6,4,89,99
a,2,0,96,98
an,2,0,96,98
this,2,0,96,98
that,1,1,97,99
no,11,4,84,99
any,4,4,90,98
another,1,1,96,98
each,1,1,97,99
some,11,24,63,98
all,10,48,41,99
every,0,7,92,99
these,0,93,6,99
both,12,29,58,99
which,4,6,89,99
those,0,75,25,100
