det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,2116,1566,30217,33899
a,344,76,13473,13893
an,72,12,2509,2593
this,40,7,1464,1511
that,7,4,364,375
no,39,16,299,354
any,17,17,313,347
another,6,4,305,315
each,4,3,248,255
some,27,57,147,231
all,19,90,77,186
every,0,14,163,177
these,0,120,9,129
both,6,14,28,48
which,2,3,42,47
those,0,21,7,28
