det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,24,18,356,398
a,9,2,387,398
an,11,1,387,399
this,10,1,387,398
that,7,4,388,399
no,44,18,337,399
any,19,19,360,398
another,7,5,387,399
each,6,4,389,399
some,46,98,254,398
all,40,193,165,398
every,0,31,368,399
these,0,372,27,399
both,50,116,233,399
which,17,25,357,399
those,0,300,100,400
