det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,12,9,178,199
a,4,1,193,198
an,5,0,193,198
this,5,0,193,198
that,3,2,194,199
no,22,9,168,199
any,9,9,180,198
another,3,2,193,198
each,3,2,194,199
some,23,49,127,199
all,20,96,82,198
every,0,15,184,199
these,0,186,13,199
both,25,58,116,199
which,8,12,178,198
those,0,150,50,200
