det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,2509,3428,37473,43410
a,745,587,28343,29675
this,115,71,4356,4542
an,48,17,2388,2453
one,34,70,2032,2136
every,8,66,2053,2127
some,274,601,838,1713
that,33,16,795,844
each,18,13,784,815
two,9,558,216,783
all,36,208,415,659
another,9,21,597,627
three,2,525,86,613
any,40,34,447,521
five,2,446,47,495
1,72,10,395,477
no,53,25,359,437
four,1,380,47,428
30,110,157,69,336
5,104,153,66,323
3,22,180,88,290
these,7,196,71,274
10,49,137,81,267
16,1,213,34,248
2,22,113,112,247
sixteen,0,224,15,239
6,121,58,49,228
8,125,32,51,208
six,3,161,27,191
ten,11,115,41,167
7,71,47,48,166
20,9,98,46,153
4,17,75,56,148
seven,2,124,17,143
15,12,69,43,124
thirty,1,103,18,122
what,4,6,105,115
2013,3,1,111,115
25,2,76,35,113
9,49,17,47,113
11,25,15,61,101
which,5,5,91,101
12,18,31,48,97
twenty,0,70,13,83
18,2,50,29,81
eight,2,65,13,80
those,2,57,17,76
23,1,44,27,72
28,0,46,24,70
nine,1,54,15,70
24,0,45,24,69
22,1,37,28,66
26,0,40,26,66
27,0,42,23,65
29,0,38,22,60
35,1,40,14,55
21,1,29,23,53
13,1,18,30,49
40,5,34,11,50
2014,1,0,47,48
14,1,25,22,48
50,4,27,16,47
fifty,0,35,13,48
19,1,25,20,46
twenty-six,0,45,1,46
both,4,15,26,45
17,1,23,21,45
31,0,29,15,44
forty,0,35,9,44
32,0,35,8,43
45,8,21,8,37
33,0,31,6,37
twenty-four,0,37,0,37
fifteen,0,27,8,35
twelve,0,20,14,34
000,1,10,23,34
34,0,26,6,32
99,1,6,23,30
twenty-two,0,30,0,30
eleven,1,18,9,28
36,0,23,5,28
sixty,0,17,9,26
9.0,0,0,25,25
38,0,19,5,24
eighteen,0,19,4,23
nineteen,0,19,3,22
thirteen,0,14,8,22
60,1,15,6,22
27th,0,0,22,22
37,0,18,3,21
2012,0,0,20,20
00,17,0,3,20
39,0,15,4,19
100,1,12,6,19
million,0,8,10,18
seventeen,0,16,3,19
fourteen,0,13,4,17
42,0,12,3,15
2011,0,0,14,14
43,0,11,3,14
29.00,0,5,8,13
39.99,0,1,10,11
hundred,0,8,3,11
41,0,9,2,11
55,0,8,3,11
2010,0,0,11,11
30.00,0,0,11,11
01,0,0,10,10
48,0,8,2,10
47,0,8,2,10
46,0,7,2,9
5000,0,9,0,9
200,0,3,5,8
2008,0,0,9,9
