det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,4,5,61,70
a,1,1,65,67
mult,5,40,17,62
this,1,0,57,58
one,2,1,53,56
an,1,0,55,56
every,0,1,54,55
some,8,19,27,54
that,2,1,48,51
each,1,0,49,50
all,2,15,31,48
another,0,1,47,48
any,3,3,42,48
no,5,2,39,46
these,1,33,12,46
what,1,2,38,41
which,2,2,37,41
those,1,30,8,39
both,3,12,21,36
