det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,23,31,345,399
a,10,7,382,399
this,10,6,383,399
an,7,2,389,398
one,6,13,380,399
every,1,12,386,399
some,63,140,195,398
that,15,7,376,398
each,9,6,384,399
two,4,284,110,398
all,22,126,251,399
another,5,13,380,398
three,1,342,56,399
any,30,26,342,398
five,2,359,37,398
1,60,8,330,398
no,48,23,327,398
four,1,353,44,398
30,130,187,82,399
5,128,189,81,398
3,30,248,121,399
these,10,285,103,398
10,73,205,121,399
16,2,342,55,399
2,36,182,180,398
sixteen,0,373,25,398
6,211,102,85,398
8,239,62,98,399
six,7,336,56,399
ten,28,274,97,399
7,171,112,115,398
20,24,255,120,399
4,47,201,151,399
seven,7,344,47,398
15,40,220,139,399
thirty,5,335,59,399
what,16,21,361,398
2013,12,3,383,398
25,8,267,124,399
9,173,60,166,399
11,97,59,242,398
which,21,20,358,399
12,73,128,198,399
twenty,2,331,65,398
18,12,244,142,398
eight,10,323,66,399
those,10,300,89,399
23,8,242,149,399
28,2,260,136,398
nine,10,301,88,399
24,2,259,137,398
22,10,220,169,399
26,3,242,154,399
27,1,256,141,398
29,2,251,145,398
35,11,284,103,398
21,9,217,173,399
13,12,143,243,398
40,39,269,90,398
2014,13,4,382,399
14,13,206,179,398
50,40,222,136,398
fifty,1,288,110,399
19,14,213,171,398
twenty-six,0,389,10,399
both,40,134,224,398
17,11,201,187,399
31,3,259,137,399
forty,2,316,80,398
32,2,322,74,398
45,85,227,86,398
33,1,328,69,398
twenty-four,0,396,3,399
fifteen,1,305,92,398
twelve,4,236,159,399
000,16,120,263,399
34,2,314,83,399
99,23,85,291,399
twenty-two,0,392,7,399
eleven,21,250,127,398
36,4,314,80,398
sixty,1,257,140,398
9.0,1,11,386,398
38,5,309,85,399
eighteen,1,327,70,398
nineteen,0,337,62,399
thirteen,0,246,152,398
60,21,273,104,398
27th,2,0,397,399
37,1,332,65,398
2012,14,9,375,398
00,333,7,58,398
39,5,302,92,399
100,22,252,124,398
million,13,180,206,399
seventeen,0,333,65,398
fourteen,0,295,104,399
42,9,301,88,398
2011,17,9,372,398
43,1,309,88,398
29.00,0,152,246,398
39.99,1,58,339,398
hundred,24,276,99,399
41,0,317,82,399
55,17,264,117,398
2010,19,4,376,399
30.00,3,13,383,399
01,20,6,373,399
48,5,300,94,399
47,3,312,83,398
46,9,297,93,399
5000,9,375,15,399
200,30,140,228,398
2008,10,26,362,398
