det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,40,55,611,706
a,17,13,658,688
mult,56,400,173,629
this,15,9,574,598
one,21,16,537,574
an,11,3,554,568
every,2,17,543,562
some,88,193,270,551
that,20,10,487,517
each,11,8,496,515
all,28,159,318,505
another,7,17,479,503
any,38,32,424,494
no,59,28,398,485
these,12,331,120,463
what,17,23,382,422
which,21,21,372,414
those,10,302,89,401
both,38,127,212,377
