det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,12548,17144,187367,217059
a,3726,2935,141715,148376
this,576,358,21780,22714
an,243,85,11943,12271
one,170,353,10162,10685
every,40,330,10266,10636
some,1371,3009,4193,8573
that,166,83,3977,4226
each,92,68,3923,4083
two,48,2794,1081,3923
all,183,1040,2077,3300
another,45,108,2987,3140
three,13,2627,432,3072
any,202,172,2238,2612
five,13,2233,235,2481
1,364,52,1975,2391
no,266,129,1798,2193
four,8,1904,239,2151
30,551,789,345,1685
5,520,769,331,1620
3,110,902,442,1454
these,36,983,356,1375
10,246,686,405,1337
16,6,1069,174,1249
2,114,566,561,1241
sixteen,0,1120,77,1197
6,608,294,247,1149
8,626,163,256,1045
six,16,805,136,957
ten,59,578,205,842
7,359,237,243,839
20,47,492,232,771
4,87,376,282,745
seven,14,624,86,724
15,63,345,218,626
thirty,7,519,91,617
what,23,32,529,584
2013,18,5,557,580
25,11,381,176,568
9,247,85,236,568
11,125,76,309,510
which,26,26,455,507
12,90,156,242,488
twenty,3,352,69,424
18,12,253,147,412
eight,10,328,67,405
those,10,289,85,384
23,7,223,137,367
28,2,233,122,357
nine,9,270,78,357
24,2,227,121,350
22,8,187,143,338
26,2,204,130,336
27,1,210,115,326
29,2,190,110,302
35,8,203,73,284
21,6,146,117,269
13,8,91,154,253
40,25,171,57,253
2014,8,2,239,249
14,8,127,110,245
50,24,137,84,245
fifty,0,176,67,243
19,8,128,102,238
twenty-six,0,229,5,234
both,23,78,130,231
17,6,117,109,232
31,1,148,78,227
forty,1,179,45,225
32,1,179,41,221
45,41,109,41,191
33,0,156,33,189
twenty-four,0,187,1,188
fifteen,0,139,42,181
twelve,1,104,70,175
000,7,53,116,176
34,0,130,34,164
99,9,33,115,157
twenty-two,0,153,2,155
eleven,7,93,47,147
36,1,115,29,145
sixty,0,87,48,135
9.0,0,3,126,129
38,1,97,26,124
eighteen,0,97,21,118
nineteen,0,99,18,117
thirteen,0,71,44,115
60,6,78,30,114
27th,0,0,112,112
37,0,91,18,109
2012,4,2,101,107
00,88,1,15,104
39,1,77,23,101
100,5,63,31,99
million,3,44,50,97
seventeen,0,81,16,97
fourteen,0,69,24,93
42,1,61,18,80
2011,3,1,74,78
43,0,57,16,73
29.00,0,25,40,65
39.99,0,9,53,62
hundred,3,43,15,61
41,0,48,12,60
55,2,40,17,59
2010,2,0,55,57
30.00,0,1,55,56
01,2,0,52,54
48,0,40,12,52
47,0,41,11,52
46,1,38,12,51
5000,1,48,1,50
200,3,18,29,50
2008,1,3,45,49
