det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,28,39,431,498
a,12,9,477,498
this,12,7,479,498
an,9,3,486,498
one,7,16,475,498
every,1,15,482,498
some,79,175,244,498
that,19,9,470,498
each,11,8,480,499
two,6,355,137,498
all,27,157,314,498
another,7,17,475,499
three,2,427,70,499
any,38,33,428,499
five,2,449,47,498
1,76,10,412,498
no,60,29,409,498
four,1,442,55,498
30,163,233,102,498
5,160,237,102,499
3,37,310,151,498
these,13,357,129,499
10,91,256,151,498
16,2,427,69,498
2,46,227,225,498
sixteen,0,467,32,499
6,264,127,107,498
8,299,78,122,499
six,8,420,71,499
ten,35,342,121,498
7,213,141,144,498
20,30,318,150,498
4,58,252,188,498
seven,9,430,59,498
15,50,275,174,499
thirty,6,419,73,498
what,20,27,452,499
2013,15,4,479,498
25,10,334,155,499
9,216,75,207,498
11,122,74,302,498
which,26,25,447,498
12,92,160,247,499
twenty,3,414,82,499
18,15,306,178,499
eight,13,404,82,499
those,13,375,111,499
23,10,303,186,499
28,3,325,170,498
nine,12,377,110,499
24,3,324,172,499
22,12,275,211,498
26,4,302,193,499
27,2,320,176,498
29,3,314,181,498
35,14,356,129,499
21,12,271,216,499
13,16,179,303,498
40,49,337,113,499
2014,16,5,478,499
14,16,258,224,498
50,50,278,170,498
fifty,1,360,137,498
19,18,267,214,499
twenty-six,0,486,12,498
both,50,168,280,498
17,14,251,234,499
31,4,324,171,499
forty,3,396,100,499
32,3,402,93,498
45,106,284,108,498
33,1,410,87,498
twenty-four,0,495,4,499
fifteen,2,381,115,498
twelve,5,295,199,499
000,20,150,328,498
34,2,392,104,498
99,29,106,364,499
twenty-two,0,491,8,499
eleven,26,313,159,498
36,5,393,101,499
sixty,2,321,175,498
9.0,1,14,483,498
38,6,387,106,499
eighteen,2,409,88,499
nineteen,0,421,77,498
thirteen,1,308,190,499
60,27,341,131,499
27th,3,0,496,499
37,2,415,82,499
2012,18,12,468,498
00,417,9,73,499
39,6,378,115,499
100,28,315,156,499
million,16,225,257,498
seventeen,0,416,82,498
fourteen,0,369,130,499
42,12,376,111,499
2011,21,12,465,498
43,2,386,110,498
29.00,0,190,308,498
39.99,1,73,424,498
hundred,30,345,124,499
41,0,396,103,499
55,22,331,146,499
2010,24,5,470,499
30.00,3,17,479,499
01,25,7,466,498
48,6,375,117,498
47,4,390,104,498
46,12,371,116,499
5000,11,469,19,499
200,37,176,286,499
2008,13,33,453,499
