det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,11,15,172,198
a,5,3,191,199
this,5,3,191,199
an,3,1,194,198
one,3,6,190,199
every,0,6,193,199
some,31,70,97,198
that,7,3,188,198
each,4,3,192,199
two,2,142,55,199
all,11,63,125,199
another,2,6,190,198
three,0,171,28,199
any,15,13,171,199
five,1,179,18,198
1,30,4,165,199
no,24,11,163,198
four,0,176,22,198
30,65,93,41,199
5,64,94,40,198
3,15,124,60,199
these,5,142,51,198
10,36,102,60,198
16,1,171,27,199
2,18,91,90,199
sixteen,0,186,12,198
6,105,51,42,198
8,119,31,49,199
six,3,168,28,199
ten,14,137,48,199
7,85,56,57,198
20,12,127,60,199
4,23,100,75,198
seven,3,172,23,198
15,20,110,69,199
thirty,2,167,29,198
what,8,10,180,198
2013,6,1,191,198
25,4,133,62,199
9,86,30,83,199
11,48,29,121,198
which,10,10,179,199
12,36,64,99,199
twenty,1,165,32,198
18,6,122,71,199
eight,5,161,33,199
those,5,150,44,199
23,4,121,74,199
28,1,130,68,199
nine,5,150,44,199
24,1,129,68,198
22,5,110,84,199
26,1,121,77,199
27,0,128,70,198
29,1,125,72,198
35,5,142,51,198
21,4,108,86,198
13,6,71,121,198
40,19,134,45,198
2014,6,2,191,199
14,6,103,89,198
50,20,111,68,199
fifty,0,144,55,199
19,7,106,85,198
twenty-six,0,194,5,199
both,20,67,112,199
17,5,100,93,198
31,1,129,68,198
forty,1,158,40,199
32,1,161,37,199
45,42,113,43,198
33,0,164,34,198
twenty-four,0,198,1,199
fifteen,0,152,46,198
twelve,2,118,79,199
000,8,60,131,199
34,1,157,41,199
99,11,42,145,198
twenty-two,0,196,3,199
eleven,10,125,63,198
36,2,157,40,199
sixty,0,128,70,198
9.0,0,5,193,198
38,2,154,42,198
eighteen,0,163,35,198
nineteen,0,168,31,199
thirteen,0,123,76,199
60,10,136,52,198
27th,1,0,198,199
37,0,166,32,198
2012,7,4,187,198
00,166,3,29,198
39,2,151,46,199
100,11,126,62,199
million,6,90,103,199
seventeen,0,166,32,198
fourteen,0,147,52,199
42,4,150,44,198
2011,8,4,186,198
43,0,154,44,198
29.00,0,76,123,199
39.99,0,29,169,198
hundred,12,138,49,199
41,0,158,41,199
55,8,132,58,198
2010,9,2,188,199
30.00,1,6,191,198
01,10,3,186,199
48,2,150,47,199
47,1,156,41,198
46,4,148,46,198
5000,4,187,7,198
200,15,70,114,199
2008,5,13,181,199
