det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,5,7,86,98
a,2,1,95,98
this,2,1,95,98
an,1,0,97,98
one,1,3,95,99
every,0,3,96,99
some,15,35,48,98
that,3,1,94,98
each,2,1,96,99
two,1,71,27,99
all,5,31,62,98
another,1,3,95,99
three,0,85,14,99
any,7,6,85,98
five,0,89,9,98
1,15,2,82,99
no,12,5,81,98
four,0,88,11,99
30,32,46,20,98
5,32,47,20,99
3,7,62,30,99
these,2,71,25,98
10,18,51,30,99
16,0,85,13,98
2,9,45,45,99
sixteen,0,93,6,99
6,52,25,21,98
8,59,15,24,98
six,1,84,14,99
ten,7,68,24,99
7,42,28,28,98
20,6,63,30,99
4,11,50,37,98
seven,1,86,11,98
15,10,55,34,99
thirty,1,83,14,98
what,4,5,90,99
2013,3,0,95,98
25,2,66,31,99
9,43,15,41,99
11,24,14,60,98
which,5,5,89,99
12,18,32,49,99
twenty,0,82,16,98
18,3,61,35,99
eight,2,80,16,98
those,2,75,22,99
23,2,60,37,99
28,0,65,34,99
nine,2,75,22,99
24,0,64,34,98
22,2,55,42,99
26,0,60,38,98
27,0,64,35,99
29,0,62,36,98
35,2,71,25,98
21,2,54,43,99
13,3,35,60,98
40,9,67,22,98
2014,3,1,95,99
14,3,51,44,98
50,10,55,34,99
fifty,0,72,27,99
19,3,53,42,98
twenty-six,0,97,2,99
both,10,33,56,99
17,2,50,46,98
31,0,64,34,98
forty,0,79,20,99
32,0,80,18,98
45,21,56,21,98
33,0,82,17,99
twenty-four,0,99,0,99
fifteen,0,76,23,99
twelve,1,59,39,99
000,4,30,65,99
34,0,78,20,98
99,5,21,72,98
twenty-two,0,98,1,99
eleven,5,62,31,98
36,1,78,20,99
sixty,0,64,35,99
9.0,0,2,96,98
38,1,77,21,99
eighteen,0,81,17,98
nineteen,0,84,15,99
thirteen,0,61,38,99
60,5,68,26,99
27th,0,0,99,99
37,0,83,16,99
2012,3,2,93,98
00,83,1,14,98
39,1,75,23,99
100,5,63,31,99
million,3,45,51,99
seventeen,0,83,16,99
fourteen,0,73,26,99
42,2,75,22,99
2011,4,2,93,99
43,0,77,22,99
29.00,0,38,61,99
39.99,0,14,84,98
hundred,6,69,24,99
41,0,79,20,99
55,4,66,29,99
2010,4,1,94,99
30.00,0,3,95,98
01,5,1,93,99
48,1,75,23,99
47,0,78,20,98
46,2,74,23,99
5000,2,93,3,98
200,7,35,57,99
2008,2,6,90,98
