det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,409,559,6112,7080
a,173,136,6587,6896
mult,565,4000,1733,6298
this,151,94,5746,5991
one,219,166,5373,5758
an,112,39,5543,5694
every,21,174,5430,5625
some,883,1938,2701,5522
that,203,102,4876,5181
each,116,87,4962,5165
all,281,1595,3186,5062
another,73,173,4793,5039
any,383,326,4240,4949
no,591,286,3988,4865
these,124,3315,1202,4641
what,172,231,3825,4228
which,218,215,3727,4160
those,108,3023,897,4028
