det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,1254,1714,18736,21704
a,372,293,14171,14836
this,57,35,2178,2270
an,24,8,1194,1226
one,17,35,1016,1068
every,4,33,1026,1063
some,137,300,419,856
that,16,8,397,421
each,9,6,392,407
two,4,279,108,391
all,18,104,207,329
another,4,10,298,312
three,1,262,43,306
any,20,17,223,260
five,1,223,23,247
1,36,5,197,238
no,26,12,179,217
four,0,190,23,213
30,55,78,34,167
5,52,76,33,161
3,11,90,44,145
these,3,98,35,136
10,24,68,40,132
16,0,106,17,123
2,11,56,56,123
sixteen,0,112,7,119
6,60,29,24,113
8,62,16,25,103
six,1,80,13,94
ten,5,57,20,82
7,35,23,24,82
20,4,49,23,76
4,8,37,28,73
seven,1,62,8,71
15,6,34,21,61
thirty,0,51,9,60
what,2,3,52,57
2013,1,0,55,56
25,1,38,17,56
9,24,8,23,55
11,12,7,30,49
which,2,2,45,49
12,9,15,24,48
twenty,0,35,6,41
18,1,25,14,40
eight,1,32,6,39
those,1,28,8,37
23,0,22,13,35
28,0,23,12,35
nine,0,27,7,34
24,0,22,12,34
22,0,18,14,32
26,0,20,13,33
27,0,21,11,32
29,0,19,11,30
35,0,20,7,27
21,0,14,11,25
13,0,9,15,24
40,2,17,5,24
2014,0,0,23,23
14,0,12,11,23
50,2,13,8,23
fifty,0,17,6,23
19,0,12,10,22
twenty-six,0,22,0,22
both,2,7,13,22
17,0,11,10,21
31,0,14,7,21
forty,0,17,4,21
32,0,17,4,21
45,4,10,4,18
33,0,15,3,18
twenty-four,0,18,0,18
fifteen,0,13,4,17
twelve,0,10,7,17
000,0,5,11,16
34,0,13,3,16
99,0,3,11,14
twenty-two,0,15,0,15
eleven,0,9,4,13
36,0,11,2,13
sixty,0,8,4,12
9.0,0,0,12,12
38,0,9,2,11
eighteen,0,9,2,11
nineteen,0,9,1,10
thirteen,0,7,4,11
60,0,7,3,10
27th,0,0,11,11
37,0,9,1,10
2012,0,0,10,10
00,8,0,1,9
39,0,7,2,9
100,0,6,3,9
million,0,4,5,9
seventeen,0,8,1,9
fourteen,0,6,2,8
42,0,6,1,7
2011,0,0,7,7
43,0,5,1,6
29.00,0,2,4,6
39.99,0,0,5,5
hundred,0,4,1,5
41,0,4,1,5
55,0,4,1,5
2010,0,0,5,5
30.00,0,0,5,5
01,0,0,5,5
48,0,4,1,5
47,0,4,1,5
46,0,3,1,4
5000,0,4,0,4
200,0,1,2,3
2008,0,0,4,4
