det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,4,3,61,68
a,1,0,63,64
this,2,0,57,59
an,1,0,56,57
any,7,2,43,52
that,3,0,47,50
no,4,2,44,50
some,7,8,33,48
each,0,0,49,49
all,4,21,21,46
another,0,0,46,46
every,0,2,42,44
these,0,40,4,44
what,4,3,35,42
those,0,37,3,40
which,2,2,35,39
both,3,14,20,37
either,0,0,35,35
whatever,3,2,27,32
neither,2,0,25,27
his/her,1,0,20,21
whichever,0,5,16,21
