det,MASS,PLURAL,SINGULAR_OR_MASS,TOTAL
the,204,189,3087,3480
a,70,23,3186,3279
this,132,9,2885,3026
an,51,6,2819,2876
any,362,146,2188,2696
that,155,24,2394,2573
no,217,113,2220,2550
some,375,447,1686,2508
each,23,5,2460,2488
all,238,1090,1076,2404
another,13,28,2308,2349
every,10,144,2131,2285
these,15,2048,216,2279
what,202,158,1758,2118
those,12,1890,165,2067
which,134,116,1779,2029
both,157,734,1013,1904
either,27,10,1760,1797
